Time,Temperature,Expectedlife
0,10,11.92
1,10,10.92
2,10,9.92
3,10,8.92
4,10,7.92
5,10,6.92
6,10,6.329787234
7,10,5.872093023
8,10,5.578947368
9,10,5.014285714
10,10,4.766666667
11,10,4.240740741
12,10,4.090909091
13,10,3.261904762
14,10,2.552631579
15,10,1.9375
16,10,1.8
17,10,1.666666667
18,10,1.25
19,10,1
20,10,0.5
21,10,0
22,10,0
0,15,12.309
1,15,11.309
2,15,10.309
3,15,9.309
4,15,8.309
5,15,7.617463617
6,15,7.452380952
7,15,6.773390036
8,15,6.077070064
9,15,5.360776439
10,15,4.621297602
11,15,3.854694486
12,15,3.367697595
13,15,3.066239316
14,15,2.56377551
15,15,2.060126582
16,15,1.793023256
17,15,1.5
18,15,0.876237624
19,15,1.001976285
20,15,0.5
21,15,0
22,15,0
0,20,10.281
1,20,9.281
2,20,8.281
3,20,7.760084926
4,20,7.36091954
5,20,6.726392252
6,20,6.743661972
7,20,6.299079755
8,20,5.708538588
9,20,5.114159292
10,20,4.953974895
11,20,4.945012788
12,20,4.301104972
13,20,3.632132132
14,20,2.769592476
15,20,2.620689655
16,20,2.594339623
17,20,2.797029703
18,20,2.166666667
19,20,1.5
20,20,0.75
21,20,0.5
22,20,0
0,25,8.8058
1,25,7.8058
2,25,6.8058
3,25,6.014256198
4,25,5.308269859
5,25,5.329551451
6,25,4.907385524
7,25,4.49798995
8,25,4.125581395
9,25,3.800689655
10,25,2.92673031
11,25,2.364225352
12,25,2.234710744
13,25,1.663917526
14,25,1.832644628
15,25,1.100496278
16,25,0.5
17,25,0
18,25,0
19,25,0
20,25,0
21,25,0
22,25,0
0,30,6.1661
1,30,5.1661
2,30,4.410905241
3,30,3.865146971
4,30,3.184133333
5,30,2.510498084
6,30,2.027983539
7,30,1.713893654
8,30,1.500901551
9,30,1.250225023
10,30,1
11,30,0
12,30,0
13,30,0
14,30,0
15,30,0
16,30,0
17,30,0
18,30,0
19,30,0
20,30,0
21,30,0
22,30,0
