Treatment,NumberIns,Time,Status
10oC,1,19,1
10oC,2,11,1
10oC,3,7,1
10oC,4,10,1
10oC,5,9,1
10oC,6,14,1
10oC,7,16,1
10oC,8,22,1
10oC,9,16,1
10oC,10,15,1
10oC,11,6,1
10oC,12,10,1
10oC,13,17,1
10oC,14,16,1
10oC,15,6,1
10oC,16,10,1
10oC,17,9,1
10oC,18,17,1
10oC,19,17,1
10oC,20,11,1
10oC,21,9,1
10oC,22,19,1
10oC,23,11,1
10oC,24,16,1
10oC,25,14,1
10oC,26,15,1
10oC,27,18,1
10oC,28,12,1
10oC,29,10,1
10oC,30,12,1
10oC,31,21,1
10oC,32,8,1
10oC,33,8,1
10oC,34,10,1
10oC,35,7,1
10oC,36,8,1
10oC,37,12,1
10oC,38,8,1
10oC,39,16,1
10oC,40,18,1
10oC,41,13,1
10oC,42,17,1
10oC,43,7,1
10oC,44,8,1
10oC,45,12,1
10oC,46,7,1
10oC,47,6,1
10oC,48,16,1
10oC,49,15,1
10oC,50,12,1
15oC,1,13,1
15oC,2,8,1
15oC,3,16,1
15oC,4,13,1
15oC,5,16,1
15oC,6,13,1
15oC,7,12,1
15oC,8,7,1
15oC,9,8,1
15oC,10,17,1
15oC,11,19,1
15oC,12,20,1
15oC,13,15,1
15oC,14,22,1
15oC,15,17,1
15oC,16,12,1
15oC,17,17,1
15oC,18,19,1
15oC,19,14,1
15oC,20,12,1
15oC,21,5,1
15oC,22,5,1
15oC,23,9,1
15oC,24,16,1
15oC,25,5,1
15oC,26,14,1
15oC,27,13,1
15oC,28,15,1
15oC,29,13,1
15oC,30,5,1
15oC,31,5,1
15oC,32,19,1
15oC,33,15,1
15oC,34,13,1
15oC,35,11,1
15oC,36,14,1
15oC,37,15,1
15oC,38,7,1
15oC,39,19,1
15oC,40,12,1
15oC,41,13,1
15oC,42,7,1
15oC,43,9,1
15oC,44,15,1
15oC,45,17,1
15oC,46,16,1
15oC,47,12,1
15oC,48,4,1
15oC,49,8,1
15oC,50,18,1
15oC,51,18,1
15oC,52,19,1
15oC,53,16,1
15oC,54,16,1
15oC,55,5,1
15oC,56,12,1
15oC,57,10,1
15oC,58,19,1
15oC,59,17,1
15oC,60,11,1
15oC,61,15,1
15oC,62,17,1
15oC,63,5,1
15oC,64,10,1
15oC,65,10,1
15oC,66,4,1
15oC,67,16,1
15oC,68,16,1
15oC,69,14,1
15oC,70,18,1
15oC,71,12,1
15oC,72,14,1
15oC,73,11,1
15oC,74,13,1
15oC,75,5,1
15oC,76,4,1
15oC,77,14,1
15oC,78,9,1
15oC,79,13,1
20oC,1,6,1
20oC,2,9,1
20oC,3,12,1
20oC,4,8,1
20oC,5,17,1
20oC,6,14,1
20oC,7,12,1
20oC,8,15,1
20oC,9,15,1
20oC,10,12,1
20oC,11,17,1
20oC,12,18,1
20oC,13,13,1
20oC,14,6,1
20oC,15,15,1
20oC,16,15,1
20oC,17,13,1
20oC,18,6,1
20oC,19,9,1
20oC,20,9,1
20oC,21,6,1
20oC,22,6,1
20oC,23,6,1
20oC,24,9,1
20oC,25,9,1
20oC,26,13,1
20oC,27,7,1
20oC,28,7,1
20oC,29,8,1
20oC,30,8,1
20oC,31,10,1
20oC,32,8,1
20oC,33,7,1
20oC,34,5,1
20oC,35,5,1
20oC,36,6,1
20oC,37,12,1
20oC,38,10,1
20oC,39,6,1
20oC,40,18,1
20oC,41,15,1
20oC,42,10,1
20oC,43,10,1
20oC,44,8,1
20oC,45,3,1
20oC,46,6,1
20oC,47,10,1
20oC,48,18,1
20oC,49,7,1
20oC,50,13,1
20oC,51,14,1
20oC,52,13,1
20oC,53,3,1
20oC,54,13,1
20oC,55,7,1
20oC,56,14,1
20oC,57,15,1
20oC,58,16,1
20oC,59,6,1
20oC,60,11,1
20oC,61,5,1
20oC,62,13,1
25oC,1,23,1
25oC,2,11,1
25oC,3,19,1
25oC,4,21,1
25oC,5,17,1
25oC,6,13,1
25oC,7,6,1
25oC,8,4,1
25oC,9,10,1
25oC,10,14,1
25oC,11,16,1
25oC,12,5,1
25oC,13,3,1
25oC,14,15,1
25oC,15,10,1
25oC,16,6,1
25oC,17,10,1
25oC,18,17,1
25oC,19,8,1
25oC,20,6,1
25oC,21,5,1
25oC,22,4,1
25oC,23,15,1
25oC,24,8,1
25oC,25,9,1
25oC,26,17,1
25oC,27,6,1
25oC,28,15,1
25oC,29,11,1
25oC,30,6,1
25oC,31,9,1
25oC,32,3,1
25oC,33,16,1
25oC,34,16,1
25oC,35,13,1
25oC,36,4,1
25oC,37,6,1
25oC,38,7,1
25oC,39,9,1
25oC,40,11,1
25oC,41,18,1
25oC,42,8,1
25oC,43,16,1
25oC,44,7,1
25oC,45,10,1
25oC,46,15,1
25oC,47,10,1
25oC,48,21,1
25oC,49,20,1
25oC,50,17,1
25oC,51,6,1
25oC,52,12,1
25oC,53,11,1
25oC,54,7,1
25oC,55,15,1
25oC,56,16,1
25oC,57,11,1
25oC,58,4,1
25oC,59,7,1
25oC,60,21,1
25oC,61,3,1
25oC,62,11,1
25oC,63,15,1
25oC,64,6,1
25oC,65,12,1
25oC,66,3,1
25oC,67,4,1
25oC,68,5,1
25oC,69,10,1
30oC,1,3,1
30oC,2,7,1
30oC,3,8,1
30oC,4,5,1
30oC,5,7,1
30oC,6,9,1
30oC,7,8,1
30oC,8,4,1
30oC,9,7,1
30oC,10,8,1
30oC,11,9,1
30oC,12,8,1
30oC,13,11,1
30oC,14,6,1
30oC,15,7,1
30oC,16,4,1
30oC,17,3,1
30oC,18,4,1
30oC,19,7,1
30oC,20,3,1
30oC,21,6,1
30oC,22,7,1
30oC,23,9,1
30oC,24,7,1
30oC,25,8,1
30oC,26,3,1
30oC,27,4,1
30oC,28,13,1
30oC,29,8,1
30oC,30,11,1
30oC,31,5,1
30oC,32,8,1
30oC,33,9,1
30oC,34,6,1
30oC,35,6,1
30oC,36,6,1
