Temperature,Time,Expectedlife
10,0,13.459
10,1,12.459
10,2,11.459
10,3,10.459
10,4,9.659
10,5,8.459
10,6,7.459
10,7,6.459
10,8,5.739790576
10,9,5.135135135
10,10,4.810967742
10,11,3.936918991
10,12,3.300293686
10,13,2.517405063
10,14,1.600494234
10,15,1.153465347
10,16,0.5
10,17,0
10,18,0
10,19,0
10,20,0
15,0,11.1422
15,1,10.1422
15,2,9.1422
15,3,8.1422
15,4,7.1422
15,5,6.1422
15,6,5.1422
15,7,4.1422
15,8,3.787463214
15,9,3.622674934
15,10,3.012620392
15,11,2.314546131
15,12,1.919394841
15,13,1.700307574
15,14,1.400182593
15,15,1
15,16,0.5
15,17,0
15,18,0
15,19,0
15,20,0
20,0,10.7467
20,1,9.7467
20,2,8.7467
20,3,7.7467
20,4,6.7467
20,5,5.7467
20,6,5.105448718
20,7,4.387414966
20,8,3.548051948
20,9,3.022100955
20,10,2.638709677
20,11,2.129853862
20,12,1.354394299
20,13,0.808
20,14,0.5
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
25,0,9.9584
25,1,8.9584
25,2,7.9584
25,3,6.9584
25,4,5.9584
25,5,4.9584
25,6,4.410132159
25,7,4.087080103
25,8,3.791190108
25,9,3.025496689
25,10,2.304044118
25,11,1.88783455
25,12,1.345954693
25,13,0.833673469
25,14,0.5
25,15,0
25,16,0
25,17,0
25,18,0
25,19,0
25,20,0
30,0,9.11348
30,1,8.29348
30,2,7.47348
30,3,6.65348
30,4,5.83348
30,5,5.01348
30,6,4.254113475
30,7,3.639242263
30,8,2.882491839
30,9,2.518118557
30,10,2.028002981
30,11,1.596802218
30,12,1.293076923
30,13,0.738
30,14,0.41
30,15,0
30,16,0
30,17,0
30,18,0
30,19,0
30,20,0
