Treatment,NumberIns,Time,Status
10oC,1,7,0
10oC,2,10,1
10oC,3,10,1
10oC,4,13,0
10oC,5,14,0
10oC,6,15,1
10oC,7,15,1
10oC,8,16,0
10oC,9,16,0
10oC,10,16,1
10oC,11,8,1
10oC,12,9,1
10oC,13,9,1
10oC,14,10,1
10oC,15,11,0
10oC,16,12,1
10oC,17,15,1
10oC,18,15,1
10oC,19,16,0
10oC,20,16,0
10oC,21,6,0
10oC,22,9,1
10oC,23,9,1
10oC,24,11,0
10oC,25,12,1
10oC,26,13,0
10oC,27,14,0
10oC,28,15,1
10oC,29,16,1
10oC,30,16,0
10oC,31,3,0
10oC,32,9,1
10oC,33,10,1
10oC,34,11,1
10oC,35,12,1
10oC,36,14,0
10oC,37,15,1
10oC,38,15,1
10oC,39,16,1
10oC,40,16,1
10oC,41,4,0
10oC,42,4,0
10oC,43,8,1
10oC,44,9,1
10oC,45,11,0
10oC,46,13,1
10oC,47,15,0
10oC,48,15,0
10oC,49,15,1
10oC,50,16,0
10oC,51,5,0
10oC,52,7,0
10oC,53,10,1
10oC,54,10,1
10oC,55,12,1
10oC,56,13,1
10oC,57,15,1
10oC,58,16,0
10oC,59,16,0
10oC,60,16,0
10oC,61,7,0
10oC,62,13,1
10oC,63,13,0
10oC,64,14,1
10oC,65,15,1
10oC,66,15,1
10oC,67,16,1
10oC,68,16,1
10oC,69,4,0
10oC,70,10,1
10oC,71,19,1
10oC,72,10,1
10oC,73,11,1
10oC,74,12,1
10oC,75,14,0
10oC,76,15,1
10oC,77,15,1
10oC,78,16,0
10oC,79,8,1
10oC,80,10,1
10oC,81,10,1
10oC,82,12,1
10oC,83,14,1
10oC,84,15,0
10oC,85,15,0
10oC,86,15,0
10oC,87,16,0
10oC,88,16,0
10oC,89,8,1
10oC,90,11,0
10oC,91,12,0
10oC,92,13,1
10oC,93,14,0
10oC,94,15,1
10oC,95,16,0
10oC,96,16,0
10oC,97,16,1
10oC,98,16,1
15oC,1,5,0
15oC,2,8,1
15oC,3,9,1
15oC,4,9,1
15oC,5,12,1
15oC,6,13,1
15oC,7,14,1
15oC,8,14,1
15oC,9,14,1
15oC,10,15,1
15oC,11,8,1
15oC,12,8,1
15oC,13,9,1
15oC,14,9,1
15oC,15,9,1
15oC,16,11,1
15oC,17,12,1
15oC,18,12,1
15oC,19,12,0
15oC,20,8,1
15oC,21,8,1
15oC,22,8,1
15oC,23,11,0
15oC,24,12,0
15oC,25,12,1
15oC,26,12,1
15oC,27,12,1
15oC,28,13,1
15oC,29,13,1
15oC,30,9,1
15oC,31,9,1
15oC,32,10,1
15oC,33,12,0
15oC,34,12,0
15oC,35,13,1
15oC,36,15,0
15oC,37,15,0
15oC,38,15,1
15oC,39,16,1
15oC,40,6,0
15oC,41,9,1
15oC,42,9,1
15oC,43,10,1
15oC,44,11,1
15oC,45,13,1
15oC,46,13,1
15oC,47,13,1
15oC,48,15,1
15oC,49,16,0
15oC,50,10,1
15oC,51,10,1
15oC,52,10,1
15oC,53,11,1
15oC,54,12,1
15oC,55,12,1
15oC,56,13,1
15oC,57,13,1
15oC,58,13,1
15oC,59,15,1
15oC,60,8,1
15oC,61,8,1
15oC,62,9,1
15oC,63,9,1
15oC,64,10,1
15oC,65,12,1
15oC,66,12,1
15oC,67,12,1
15oC,68,14,1
15oC,69,14,0
15oC,70,8,1
15oC,71,8,1
15oC,72,9,1
15oC,73,9,1
15oC,74,9,1
15oC,75,9,1
15oC,76,11,1
15oC,77,11,1
15oC,78,11,1
15oC,79,14,0
15oC,80,6,0
15oC,81,6,0
15oC,82,8,1
15oC,83,8,1
15oC,84,8,1
15oC,85,8,1
15oC,86,9,1
15oC,87,13,0
15oC,88,14,1
15oC,89,14,1
15oC,90,10,1
15oC,91,11,0
15oC,92,12,1
15oC,93,12,0
15oC,94,13,1
15oC,95,14,1
15oC,96,16,1
15oC,97,26,1
20oC,1,7,0
20oC,2,7,0
20oC,3,8,0
20oC,4,8,0
20oC,5,10,0
20oC,6,11,0
20oC,7,13,1
20oC,8,13,1
20oC,9,14,1
20oC,10,14,1
20oC,11,6,1
20oC,12,6,1
20oC,13,6,1
20oC,14,6,1
20oC,15,7,1
20oC,16,7,1
20oC,17,8,1
20oC,18,8,1
20oC,19,9,0
20oC,20,10,1
20oC,21,6,1
20oC,22,6,1
20oC,23,9,1
20oC,24,9,1
20oC,25,10,1
20oC,26,10,1
20oC,27,12,1
20oC,28,13,0
20oC,29,13,0
20oC,30,14,0
20oC,31,7,0
20oC,32,9,1
20oC,33,9,1
20oC,34,10,1
20oC,35,10,1
20oC,36,12,1
20oC,37,12,1
